🕘️更新时间,#genre#
2026-01-14 09:46:22,http://localhost:8999/hls/6813270819413836186

📺央视频道,#genre#
CCTV-1,http://localhost:8999/hls/6813270819413836186
CCTV-2,http://localhost:8999/hls/5920853743331634534
CCTV-3,http://localhost:8999/hls/-4908422243737639595
CCTV-3,http://localhost:8999/hls/5893884179258316066
CCTV-3,http://localhost:8999/hls/1815761887259559823
CCTV-4,http://localhost:8999/hls/-5646657600156898230
CCTV-5,http://localhost:8999/hls/1736405708594923235
CCTV-5,http://localhost:8999/hls/8138276799692962152
CCTV-7,http://localhost:8999/hls/4847010464295165645
CCTV-8,http://localhost:8999/hls/-18925318271602764
CCTV-9,http://localhost:8999/hls/-7748068003220479203
CCTV-9,http://localhost:8999/hls/7587408269682658375
CCTV-10,http://localhost:8999/hls/-4550485322848608906
CCTV-11,http://localhost:8999/hls/7979142418618091422
CCTV-12,http://localhost:8999/hls/4697252715481051322
CCTV-12,http://localhost:8999/hls/-4495938332416952866
CCTV-15,http://localhost:8999/hls/-5706497405132093934
CCTV-15,http://localhost:8999/hls/9214748683833823504
CCTV-16,http://localhost:8999/hls/1969148224284298539
CCTV-17,http://localhost:8999/hls/7713054886920348315
CCTV-17,http://localhost:8999/hls/8095042930824927925
CETV-1,http://localhost:8999/hls/-6089615734692191117
CETV-4,http://localhost:8999/hls/-6232532881315522724

💰央视付费频道,#genre#
风云音乐,http://localhost:8999/hls/-7758386987212851992
风云音乐,http://localhost:8999/hls/-633178236295836843
第一剧场,http://localhost:8999/hls/-2951886810403635706
怀旧剧场,http://localhost:8999/hls/-2931843102280007026
怀旧剧场,http://localhost:8999/hls/6997006802796247377
高尔夫网球,http://localhost:8999/hls/6567233730492591225
风云足球,http://localhost:8999/hls/4521708252400782844
电视指南,http://localhost:8999/hls/-8933299916765853744
兵器科技,http://localhost:8999/hls/2047009516140590902

📡卫视频道,#genre#
广东卫视,http://localhost:8999/hls/-696139182132724970
广东卫视,http://localhost:8999/hls/2788694046176204674
广东卫视,http://localhost:8999/hls/1255646710068579139
浙江卫视,http://localhost:8999/hls/8735042635530815473
浙江卫视,http://localhost:8999/hls/-2668275185212425587
浙江卫视,http://localhost:8999/hls/-2886692007244365360
浙江卫视,http://localhost:8999/hls/6323029130293292918
湖南卫视,http://localhost:8999/hls/4954566839923123920
湖南卫视,http://localhost:8999/hls/-8164238115689988037
湖南卫视,http://localhost:8999/hls/-665071481797083849
湖南卫视,http://localhost:8999/hls/5983681014948495640
北京卫视,http://localhost:8999/hls/4066672803704949932
湖北卫视,http://localhost:8999/hls/-3252923064147006242
湖北卫视,http://localhost:8999/hls/3750246814296253541
黑龙江卫视,http://localhost:8999/hls/-9037781912036402166
黑龙江卫视,http://localhost:8999/hls/-7590750142272798759
黑龙江卫视,http://localhost:8999/hls/-7465469819918741701
安徽卫视,http://localhost:8999/hls/-8874235263446410256
重庆卫视,http://localhost:8999/hls/-4289607524132636974
重庆卫视,http://localhost:8999/hls/7381095493291555949
重庆卫视,http://localhost:8999/hls/4064030333477479549
东方卫视,http://localhost:8999/hls/-4355651076083866519
东方卫视,http://localhost:8999/hls/-7150861601262276096
东方卫视,http://localhost:8999/hls/-1975020922334252164
东方卫视,http://localhost:8999/hls/5883469396987208872
东方卫视,http://localhost:8999/hls/-3137845793515553975
东南卫视,http://localhost:8999/hls/-4467609535604460848
甘肃卫视,http://localhost:8999/hls/2595529605913098180
广西卫视,http://localhost:8999/hls/-8392648488638052197
广西卫视,http://localhost:8999/hls/-3812922054362686107
贵州卫视,http://localhost:8999/hls/3598296938733136826
海南卫视,http://localhost:8999/hls/5618019321824118934
海南卫视,http://localhost:8999/hls/4481517268063642024
河北卫视,http://localhost:8999/hls/785548418214083384
河北卫视,http://localhost:8999/hls/-8383072969839487488
河南卫视,http://localhost:8999/hls/6055821497051018836
河南卫视,http://localhost:8999/hls/-8514464300683384128
吉林卫视,http://localhost:8999/hls/-3667640246157077883
吉林卫视,http://localhost:8999/hls/-6331945276673972686
江苏卫视,http://localhost:8999/hls/-1465297200206816327
江苏卫视,http://localhost:8999/hls/9013344924080564748
江西卫视,http://localhost:8999/hls/-6290689793992635305
江西卫视,http://localhost:8999/hls/-1744622423637347062
辽宁卫视,http://localhost:8999/hls/-3322580851881263637
辽宁卫视,http://localhost:8999/hls/5839272983667749107
内蒙古卫视,http://localhost:8999/hls/-5357299366962737953
内蒙古卫视,http://localhost:8999/hls/4970817342177907993
宁夏卫视,http://localhost:8999/hls/-6089271230621723950
青海卫视,http://localhost:8999/hls/5993127643298993241
青海卫视,http://localhost:8999/hls/-4836258502849479536
青海卫视,http://localhost:8999/hls/-4138458958595608765
青海卫视,http://localhost:8999/hls/-8067933892498522198
山东卫视,http://localhost:8999/hls/-8937779263285057690
山西卫视,http://localhost:8999/hls/-2701623904488254125
山西卫视,http://localhost:8999/hls/7590144679075057331
山西卫视,http://localhost:8999/hls/7430549161287151478
陕西卫视,http://localhost:8999/hls/-2088171728253212226
陕西卫视,http://localhost:8999/hls/-7128284284227188671
四川卫视,http://localhost:8999/hls/-9137143138354928448
四川卫视,http://localhost:8999/hls/694849684663703429
深圳卫视,http://localhost:8999/hls/2336405365641959048
深圳卫视,http://localhost:8999/hls/6610387730708028692
深圳卫视,http://localhost:8999/hls/3873526007694799771
天津卫视,http://localhost:8999/hls/-3535375417829599531
西藏卫视,http://localhost:8999/hls/-8845962168054364753
西藏卫视,http://localhost:8999/hls/-6908669087747450750
新疆卫视,http://localhost:8999/hls/4219907951575883933
云南卫视,http://localhost:8999/hls/4979814563958132520

☘️广东频道,#genre#
广东体育,http://localhost:8999/hls/-7414771498658136514

☘️浙江频道,#genre#
浙江钱江都市,http://localhost:8999/hls/-5261419424542048755
浙江民生,http://localhost:8999/hls/-541627616991593711
浙江新闻,http://localhost:8999/hls/6241130729745573173
浙江少儿,http://localhost:8999/hls/2572808849574817708
浙江经济,http://localhost:8999/hls/-624548020453560393
浙江国际,http://localhost:8999/hls/-6006944658617397990
嘉兴新闻综合,http://localhost:8999/hls/-4581304850424894790
湖州新闻综合,http://localhost:8999/hls/-5907688117141370548
湖州新闻综合,http://localhost:8999/hls/-604470461788820442
湖州新闻综合,http://localhost:8999/hls/7626881637091474509
湖州新闻综合,http://localhost:8999/hls/-8328562549855545191
湖州文化娱乐,http://localhost:8999/hls/8905120963651958312
湖州文化娱乐,http://localhost:8999/hls/-5102020013743690426
湖州文化娱乐,http://localhost:8999/hls/5189492111636082669
浙江数码时代,http://localhost:8999/hls/6885661394217448955
象山综合,http://localhost:8999/hls/-3026511204068448093
绍兴电视台公共,http://localhost:8999/hls/4920357122056424848
湖州公共民生,http://localhost:8999/hls/-4854244242718015321
海宁新闻综合,http://localhost:8999/hls/-8683224470509336246
海宁新闻综合,http://localhost:8999/hls/-8169015628940341068
海宁新闻综合,http://localhost:8999/hls/1263945881790454353
永嘉新闻综合,http://localhost:8999/hls/8899570506802571960
松阳综合,http://localhost:8999/hls/-5690148942200392124
庆元综合,http://localhost:8999/hls/-3146620119675432356
庆元综合,http://localhost:8999/hls/-896116003613719239
余姚综合,http://localhost:8999/hls/-3893105609979028593
义乌新闻综合,http://localhost:8999/hls/-3219106259035851986
中国蓝新闻,http://localhost:8999/hls/4834257561271912820
上虞新商都,http://localhost:8999/hls/-179841339383164573

☘️北京频道,#genre#
北京新闻,http://localhost:8999/hls/-5194257865636465593
北京生活,http://localhost:8999/hls/-1970176232916621399
北京科教,http://localhost:8999/hls/-2252625997661405439
北京青年,http://localhost:8999/hls/-1612470800539629812

☘️上海频道,#genre#
上海第一财经,http://localhost:8999/hls/-7263104916375555927
全纪实,http://localhost:8999/hls/-3044335760317075533
全纪实,http://localhost:8999/hls/4156169066288694372
新闻综合,http://localhost:8999/hls/3703208369474893346
法治天地,http://localhost:8999/hls/9179738991668800481
法治天地,http://localhost:8999/hls/2796768505159040968
第一财经,http://localhost:8999/hls/9019863690670640877
第一财经,http://localhost:8999/hls/-5485663076732846117
都市剧场,http://localhost:8999/hls/-9060433468310619556
都市剧场,http://localhost:8999/hls/9122804897227047314
金山电视台,http://localhost:8999/hls/5924243293002332009

☘️重庆频道,#genre#
璧山综合,http://localhost:8999/hls/-426876547503482915
铜梁综合,http://localhost:8999/hls/779819621103028527
铜梁综合,http://localhost:8999/hls/-3151994454296563754
重庆汽摩,http://localhost:8999/hls/-2961250867082748707
重庆汽摩,http://localhost:8999/hls/8161492771294799589
重庆汽摩,http://localhost:8999/hls/-7436088498662564663
重庆汽摩,http://localhost:8999/hls/-3073558895894955645
重庆汽摩,http://localhost:8999/hls/-3004126700531770348
重庆汽摩,http://localhost:8999/hls/-2861055132225173398
荣昌综合,http://localhost:8999/hls/7925842509833575652
江津新闻综合,http://localhost:8999/hls/664235697693535361
江津新闻综合,http://localhost:8999/hls/664235697693535361
垫江综合,http://localhost:8999/hls/-7612653703646263295
垫江综合,http://localhost:8999/hls/-4527538213779432796
万州三峡移民,http://localhost:8999/hls/7686995893178370952
重庆时尚购物,http://localhost:8999/hls/-292604492803422384

☘️江苏频道,#genre#
东台综合,http://localhost:8999/hls/7210883034452761292
六合新闻综合,http://localhost:8999/hls/-6022628690978199519
句容党建,http://localhost:8999/hls/-532853947313048508
句容党建,http://localhost:8999/hls/-618585982869971615
句容党建,http://localhost:8999/hls/-4409782076045819324
句容影院,http://localhost:8999/hls/-2577076547779092532
句容新闻综合,http://localhost:8999/hls/-4567222368076353888
句容新闻综合,http://localhost:8999/hls/-8225726934781010563
句容生活,http://localhost:8999/hls/-6018172513980225956
句容生活,http://localhost:8999/hls/-7849222495077911464
句容生活,http://localhost:8999/hls/4503628452916307018
大丰公共,http://localhost:8999/hls/-7016442562644252010
如东一套新闻综合,http://localhost:8999/hls/-1090999222789413541
如东新闻综合,http://localhost:8999/hls/-4475340259527926067
如东新闻综合,http://localhost:8999/hls/893710897743415603
姜堰新闻综合,http://localhost:8999/hls/3190701531071775414
姜堰新闻综合,http://localhost:8999/hls/5022133615013048702
宜兴紫砂,http://localhost:8999/hls/2942160056926205260
宜兴紫砂,http://localhost:8999/hls/5930949012913545209
常熟民生,http://localhost:8999/hls/589358789997616854
常熟民生,http://localhost:8999/hls/-8760251858086379312
无锡新闻综合,http://localhost:8999/hls/-7412332092180759216
无锡新闻综合,http://localhost:8999/hls/539796324663420389
武进新闻,http://localhost:8999/hls/1120483772931946411
武进新闻,http://localhost:8999/hls/-1653281360705419511
武进新闻,http://localhost:8999/hls/-5909240263641868361
武进新闻,http://localhost:8999/hls/3819266830953197698
武进生活,http://localhost:8999/hls/-6296046259771799731
武进生活,http://localhost:8999/hls/2428661488094837930
武进生活,http://localhost:8999/hls/6747812829553485878
武进生活,http://localhost:8999/hls/-9013759388504940960
江宁电视台综合,http://localhost:8999/hls/7935415567189667698
沛县新闻综合,http://localhost:8999/hls/1635836315941247161
沛县新闻综合,http://localhost:8999/hls/7503665028366174329
沛县新闻综合,http://localhost:8999/hls/-6596580723894632812
沭阳综合,http://localhost:8999/hls/7349284558880126596
